C|4|93|0.034|0.017|1
C|23|52|0.555|0.542|1
C|14|15|0.903|0.878|1
C|47|13|1.018|1.005|1
C|10|41|1.189|1.155|1
C|38|77|1.440|1.415|1
C|8|27|1.923|1.881|1
C|30|48|2.106|2.072|1
C|41|18|2.402|2.372|1
C|55|70|0.254|0.127|1
C|27|6|2.590|2.543|1
C|35|50|2.664|2.627|1
C|1|17|2.994|2.949|1
C|22|58|3.153|3.103|1
C|49|61|3.517|3.462|1
C|48|61|3.878|3.827|1
C|18|84|4.261|4.203|1
C|9|47|4.769|4.699|1
C|39|77|5.052|4.990|1
C|12|88|5.527|5.452|1
C|3|59|6.055|5.968|1
C|43|45|6.432|6.336|1
C|13|15|6.735|6.632|1
C|20|25|6.868|6.768|1
C|34|22|7.071|6.964|1
C|11|88|7.255|7.143|1
C|16|56|7.753|7.644|1
C|44|93|8.079|7.979|1
C|74|9|0.116|0.058|1
C|37|77|8.634|8.521|1
C|76|48|0.388|0.244|1
C|79|0|0.084|0.084|0
C|26|13|9.091|8.974|1
C|7|27|9.226|9.106|1
C|77|47|0.354|0.177|1
C|17|50|9.443|9.314|1
C|81|55|0.456|0.373|1
C|82|46|0.826|0.723|1
C|24|86|9.765|9.632|1
C|84|91|0.142|0.071|1
C|45|93|10.267|10.130|1
C|15|57|10.812|10.667|1
C|42|51|11.135|11.003|1
C|89|59|0.036|0.018|1
C|90|51|0.350|0.175|1
C|5|87|11.496|11.343|1
C|91|52|0.438|0.394|1
C|94|12|0.547|0.431|1
C|36|64|11.987|11.838|1
C|96|53|0.062|0.031|1
C|25|80|12.379|12.226|1
C|0|18|12.885|12.711|1
C|33|22|13.015|12.853|1
C|100|31|0.278|0.139|1
C|98|81|0.106|0.053|1
C|32|95|13.181|13.023|1
C|99|89|0.516|0.359|1
C|21|24|13.728|13.566|1
C|28|20|13.904|13.746|1
C|102|95|0.268|0.134|1
C|2|51|14.082|13.917|1
C|46|20|14.401|14.236|1
C|101|73|0.834|0.682|1
C|104|19|1.302|1.126|1
C|108|17|0.678|0.624|1
C|111|0|0.130|0.130|0
C|19|98|14.575|14.405|1
C|114|0|0.105|0.105|0
C|110|43|0.196|0.168|1
C|112|58|0.166|0.083|1
C|29|54|15.161|14.975|1
C|40|18|15.487|15.305|1
C|113|96|0.222|0.111|1
C|6|86|15.659|15.468|1
C|115|58|0.801|0.668|1
C|117|53|1.062|0.971|1
C|31|82|16.159|15.965|1
C|50|32|15.146|15.135|1
C|119|68|0.889|0.777|1
C|51|80|15.382|15.365|1
C|124|99|0.489|0.442|1
C|52|61|15.892|15.852|1
C|127|60|0.616|0.583|1
C|54|46|15.314|15.289|1
C|129|47|0.230|0.115|1
C|132|11|0.378|0.189|1
C|53|84|15.822|15.690|1
C|133|52|0.116|0.058|1
C|56|18|15.530|15.510|1
C|136|15|0.070|0.035|1
C|134|12|0.322|0.161|1
C|57|68|15.702|15.673|1
C|58|10|16.272|16.160|1
C|138|30|0.246|0.123|1
C|139|51|0.316|0.158|1
C|140|33|0.066|0.033|1
C|61|69|15.747|15.723|1
C|141|36|0.454|0.333|1
C|60|52|16.330|16.219|1
C|143|66|0.082|0.041|1
C|59|47|16.828|16.630|1
C|146|20|0.234|0.117|1
C|63|56|15.791|15.715|1
C|150|0|0.051|0.051|0
C|64|6|16.185|16.084|1
C|148|81|0.300|0.150|1
C|151|4|0.480|0.470|1
C|154|0|0.102|0.102|0
C|153|50|0.034|0.017|1
C|62|84|16.351|16.214|1
C|152|61|0.407|0.356|1
C|67|39|15.515|15.422|1
C|159|6|0.326|0.163|1
C|156|94|0.312|0.156|1
C|66|99|15.822|15.705|1
C|158|55|0.545|0.535|1
C|65|59|16.511|16.329|1
C|68|36|15.526|15.440|1
C|70|23|15.818|15.708|1
C|69|29|15.950|15.794|1
C|165|43|0.282|0.141|1
C|167|66|0.058|0.029|1
C|71|99|15.516|15.500|1
C|169|86|0.306|0.153|1
C|72|61|16.267|16.155|1
C|171|6|0.320|0.160|1
C|73|8|16.732|16.572|1
C|170|39|0.405|0.245|1
C|75|52|15.255|15.197|1
C|78|4|15.211|15.048|1
C|178|79|0.080|0.040|1
C|80|98|15.094|14.932|1
C|85|49|15.116|15.063|1
C|83|46|15.647|15.483|1
C|88|92|15.159|15.139|1
C|86|7|15.711|15.677|1
C|87|33|15.820|15.781|1
C|93|10|14.533|14.404|1
C|92|70|14.721|14.555|1
C|97|21|14.455|14.437|1
C|95|73|14.872|14.730|1
C|103|37|13.784|13.735|1
C|105|28|13.807|13.779|1
C|106|4|14.163|13.977|1
C|109|7|13.680|13.618|1
C|107|13|13.895|13.775|1
C|118|10|13.088|13.077|1
C|116|15|13.168|13.007|1
C|120|73|12.895|12.863|1
C|121|10|13.528|13.394|1
C|122|41|12.968|12.924|1
C|123|66|12.939|12.807|1
C|126|95|13.107|12.976|1
C|125|94|13.664|13.524|1
C|128|60|13.365|13.225|1
C|130|20|13.827|13.638|1
C|131|63|13.707|13.513|1
C|135|67|13.372|13.216|1
C|137|70|13.715|13.587|1
C|142|44|13.639|13.497|1
C|144|69|13.422|13.326|1
C|145|4|13.941|13.790|1
C|147|77|13.619|13.509|1
C|149|44|13.227|13.216|1
C|157|37|13.527|13.461|1
C|155|76|13.398|13.279|1
C|160|58|13.559|13.452|1
C|163|32|13.222|13.181|1
C|162|19|13.482|13.423|1
C|161|19|13.829|13.676|1
C|164|37|13.101|13.090|1
C|166|48|13.506|13.417|1
C|168|33|13.318|13.281|1
C|172|59|13.250|13.082|1
C|175|95|12.882|12.841|1
C|174|80|13.599|13.469|1
C|173|39|14.091|13.947|1
C|176|29|13.708|13.681|1
C|177|70|14.119|13.991|1
K|0|6072|123|38.232|0.246|0
K|5|0|0|0.000|0.000|0
K|1|1139|20|6.795|0.284|0
K|2|888|19|5.485|0.233|0
K|3|549|12|3.309|0.228|0
K|4|0|0|0.000|0.000|0
